Case_Number,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Street_Code,Street_Name,Postal_Code,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Shift_Description,Hour_of_Day,Pedestrian_Cause_Description,Involved_Vehicle_Type,Gender_Description,Age,Person_Type_Description,Pedestrian_Accident_Location_Description,Pedestrian_Movement_Reason_Description,Driver_Movement_Reason_Description,Victimization_Description,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude
2023S000001    ,3,Sants-Montjuïc,18,Sants,30602,Badal,0186 0186,Sunday,2023,1,January,1,Morning,10,No és causa del  vianant,"Camió rígid > 3,5 tones",Man,57,Pedestrian,En zona peatonal                                                                                                                                      ,Unknown,Unknown,Serious injury: Hospitalization over 24 hours,427409.24,4580907.46,2.130813369,41.374565193
2023S000003    ,1,Ciutat Vella,1,el Raval,67307,Carme,0075 0079,Sunday,2023,1,January,1,Night,3,Creuar per fora pas de vianants,Furgoneta,Man,45,Pedestrian,Fora del pas                                                                                                                                          ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,430479.42,4581533.3,2.167451891,41.380473178
2023S000005    ,6,Gràcia,31,la Vila de Gràcia,282401,Riera de Sant Miquel / Sèneca                     ,0017 0017,Sunday,2023,1,January,1,Afternoon,17,No és causa del  vianant,Bicicleta,Man,45,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,429637.2,4583426.13,2.157160502,41.397448015
2023S000006    ,6,Gràcia,31,la Vila de Gràcia,206403,Gran de Gràcia / Gràcia                           ,0072 0072,Sunday,2023,1,January,1,Afternoon,17,No és causa del  vianant,Motorcycle,Man,49,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Medical assistance at accident site,429497.51,4583693.13,2.155458526,41.399840547
2023S000007    ,3,Sants-Montjuïc,12,la Marina del Prat Vermell,180,Ramon Albó                                        ,0093 0093,Sunday,2023,1,January,1,Afternoon,18,No és causa del  vianant,Motorcycle,Man,27,Driver,Desconegut                                                                                                                                            ,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,431331.37,4586678.86,2.177055607,41.426890843
2023S000008    ,6,Gràcia,31,la Vila de Gràcia,267000,Riera de Cassoles,0056 0058,Sunday,2023,1,January,1,Afternoon,14,No és causa del  vianant,Motorcycle,Man,35,Driver,A la vorera / Andana                                                                                                                                  ,Unknown,En missió,Minor injury: Medical assistance at accident site,429062.06,4584294.81,2.150179264,41.405221335
2023S000009    ,7,Horta-Guinardó,43,Horta,700651,Botticelli / Estatut de Catalunya                 ,0039X0039X,Monday,2023,1,January,2,Night,4,No és causa del  vianant,Motorcycle,Woman,40,Driver,Desconegut                                                                                                                                            ,Unknown,In itínere,Minor injury: Hospitalization up to 24 hours,429270.14,4587461.07,2.152297976,41.433756942
2023S000009    ,7,Horta-Guinardó,43,Horta,700651,Botticelli / Estatut de Catalunya                 ,0039X0039X,Monday,2023,1,January,2,Night,4,No és causa del  vianant,Motorcycle,Man,28,Driver,Desconegut                                                                                                                                            ,Unknown,In itínere,Minor injury: Hospitalization up to 24 hours,429270.14,4587461.07,2.152297976,41.433756942
2023S000009    ,7,Horta-Guinardó,43,Horta,700651,Botticelli / Estatut de Catalunya                 ,0039X0039X,Monday,2023,1,January,2,Night,4,No és causa del  vianant,Motorcycle,Man,39,Driver,Desconegut                                                                                                                                            ,Unknown,In itínere,Minor injury: Hospitalization up to 24 hours,429270.14,4587461.07,2.152297976,41.433756942
2023S000009    ,7,Horta-Guinardó,43,Horta,700651,Botticelli / Estatut de Catalunya                 ,0039X0039X,Monday,2023,1,January,2,Night,4,No és causa del  vianant,Motorcycle,Man,59,Driver,Desconegut                                                                                                                                            ,Unknown,In itínere,Minor injury: Hospitalization up to 24 hours,429270.14,4587461.07,2.152297976,41.433756942
