Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Hour_of_Day,Shift_Description,Immediate_Cause_Description,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude,datetime
2023S000699    ,Unknown,Unknown,Rovira (ascendent),Saturday,2023,2,February,4,16,Afternoon,Lack of driving attention,430443.36,4585232.0,2.166595554,41.413783052,2023-02-04 16:00:00
2023S005197    ,Unknown,Unknown,Estatut de Catalunya,Friday,2023,9,September,1,13,Morning,Not respecting distances,429493.73,4587108.15,2.155015073,41.430598006,2023-09-01 13:00:00
2023S007430    ,Unknown,Unknown,Rovira (ascendent),Friday,2023,12,December,15,11,Morning,Not respecting distances,430443.36,4585232.0,2.166595554,41.413783052,2023-12-15 11:00:00
2023S000961    ,Unknown,Unknown,Amílcar,Saturday,2023,1,January,28,14,Afternoon,Not respecting pedestrian crossing,430955.45,4586335.1,2.172596357,41.423762477,2023-01-28 14:00:00
2023S006486    ,Unknown,Unknown,Augusta / Hort de la Vila,Thursday,2023,11,November,2,14,Afternoon,Ignoring traffic light,426883.33,4583690.92,2.124188957,41.399587047,2023-11-02 14:00:00
2023S002721    ,Unknown,Unknown,Lisboa,Dilluns,2023,5,May,8,1,Night,Lack of driving attention,429524.58,4586879.7,2.155410913,41.428543158,2023-05-08 01:00:00
2023S002864    ,Unknown,Unknown,Lisboa / Puríssima,Saturday,2023,5,May,13,18,Afternoon,Desobeir altres senyals,429178.93,4586631.06,2.151303679,41.426273341,2023-05-13 18:00:00
2023S006867    ,Unknown,Unknown,Guipúscoa,Diumenge,2023,11,November,19,7,Morning,Lack of driving attention,433835.76,4586344.61,2.207061705,41.424090651,2023-11-19 07:00:00
2023S001077    ,Unknown,Unknown,Carrasco i Formiguera / Dolors Monserdà,Dimecres,2023,2,February,22,21,Afternoon,Desobeir altres senyals,426738.14,4583956.28,2.122420131,41.401963806,2023-02-22 21:00:00
2023S005671    ,Unknown,Unknown,A Zona Franca,Dimarts,2023,9,September,26,17,Afternoon,Lack of driving attention,428497.71,4577319.47,2.144251323,41.342346799,2023-09-26 17:00:00
2023S004509    ,Unknown,Unknown,Dolors Monserdà / Carrasco i Formiguera,Dimarts,2023,7,July,25,20,Afternoon,Desobeir altres senyals,426738.14,4583956.28,2.122420131,41.401963806,2023-07-25 20:00:00
2023S000458    ,Unknown,Unknown,Favència,Dilluns,2023,1,January,23,12,Morning,Not respecting distances,431894.76,4588886.06,2.183548645,41.446818316,2023-01-23 12:00:00
2023S000462    ,Unknown,Unknown,Ildefons Cerdà,Dilluns,2023,1,January,23,23,Night,Gir indegut o sense precaució,427786.74,4579747.41,2.135465365,41.364151013,2023-01-23 23:00:00
2023S004984    ,Sant Martí,el Camp de l'Arpa del Clot,Meridiana,Dimarts,2023,8,August,15,23,Night,Gir indegut o sense precaució,432139.36,4585186.75,2.186892134,41.413520581,2023-08-15 23:00:00
2023S003695    ,Sant Martí,el Camp de l'Arpa del Clot,Las Navas de Tolosa,Dimarts,2023,6,June,20,16,Afternoon,Altres,432107.59,4585401.76,2.186487885,41.415454425,2023-06-20 16:00:00
2023S003891    ,Sant Martí,el Camp de l'Arpa del Clot,Las Navas de Tolosa,Dimecres,2023,6,June,28,16,Afternoon,Lack of driving attention,432141.03,4585382.64,2.186890129,41.415285043,2023-06-28 16:00:00
2023S005526    ,Sant Martí,el Camp de l'Arpa del Clot,Independència,Dimarts,2023,9,September,19,12,Morning,Unknown,431336.21,4585087.98,2.177294241,41.412562734,2023-09-19 12:00:00
2023S002728    ,Sant Martí,el Camp de l'Arpa del Clot,Maragall,Dilluns,2023,5,May,8,9,Morning,Altres,431653.81,4585294.29,2.18107072,41.41444799,2023-05-08 09:00:00
2023S000172    ,Sant Martí,el Camp de l'Arpa del Clot,Maragall,Dimarts,2023,1,January,10,17,Afternoon,Unknown,431603.55,4585443.43,2.180452515,41.415786967,2023-01-10 17:00:00
2023S000944    ,Sant Martí,el Camp de l'Arpa del Clot,Sant Antoni Maria Claret,Dimecres,2023,2,February,15,20,Afternoon,Altres,431646.49,4585469.73,2.180963306,41.416027499,2023-02-15 20:00:00
2023S002482    ,Sant Martí,el Camp de l'Arpa del Clot,Indústria,Thursday,2023,4,April,27,20,Afternoon,Desobeir altres senyals,431372.38,4585035.95,2.177732887,41.412097208,2023-04-27 20:00:00
2023S003507    ,Sant Martí,el Camp de l'Arpa del Clot,Còrsega,Dilluns,2023,6,June,12,17,Afternoon,Avançament defectuós/improcedent,431555.77,4585028.44,2.179927818,41.412045215,2023-06-12 17:00:00
2023S000417    ,Sant Martí,el Camp de l'Arpa del Clot,Independència,Saturday,2023,1,January,21,16,Afternoon,Ignoring traffic light,431748.64,4584647.26,2.182278336,41.408628456,2023-01-21 16:00:00
2023S007343    ,Sant Martí,el Camp de l'Arpa del Clot,Mallorca,Dilluns,2023,12,December,11,22,Night,Ignoring traffic light,431651.12,4584550.2,2.181122636,41.407745976,2023-12-11 22:00:00
2023S002936    ,Sant Martí,el Camp de l'Arpa del Clot,València,Dimecres,2023,5,May,17,17,Afternoon,Avançament defectuós/improcedent,431783.3,4584478.23,2.182712052,41.407108999,2023-05-17 17:00:00
