Case_Number,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Street_Code,Street_Name,Postal_Code,Day_of_Week,Year,Month_Code,Month_Name,Day_of_Month,Hour_of_Day,Shift_Description,Pedestrian_Cause_Description,Vehicle_Type_Description,Vehicle_Model_Description,Vehicle_Brand_Description,Vehicle_Color_Description,License_Description,License_Age,UTM_X_Coordinate,UTM_Y_Coordinate,Longitude,Latitude,datetime
2023S000506    ,-1,Unknown,-1,Unknown,-1,Motors                                            ,152-154   ,Thursday,2023,1,January,26,15,Afternoon,No és causa del  vianant,Motorcycle,FSH125,HONDA,Gray,B,11,428888.97,4578390.79,2.148801757,41.352030518,2023-01-26 15:00:00
2023S001678    ,-1,Unknown,-1,Unknown,-1,Corts / Arístides Maillol                         ,,Thursday,2023,3,March,23,14,Afternoon,No és causa del  vianant,Bus,LION'S CITY G,MAN,Red,D,17,426626.85,4581292.09,2.121411776,41.377958412,2023-03-23 14:00:00
2023S002486    ,-1,Unknown,-1,Unknown,-1,Glòries Catalanes                                 ,1         ,Thursday,2023,4,April,27,20,Afternoon,No és causa del  vianant,Articulated bus,HYBRID H18,SOLARIS,Red,E D,26,432052.4,4583910.53,2.185995092,41.402018695,2023-04-27 20:00:00
2023S002816    ,-1,Unknown,-1,Unknown,-1,Motors                                            ,0         ,Thursday,2023,5,May,11,18,Afternoon,No és causa del  vianant,Motorcycle,SH 300,HONDA,Black,A,12,427994.28,4577969.06,2.138157684,41.348152595,2023-05-11 18:00:00
2023S003085    ,-1,Unknown,-1,Unknown,-1,Montalegre / Valldonzella                         ,,Thursday,2023,5,May,25,1,Night,No és causa del  vianant,Motorcycle,NSS250S,HONDA,White,A,14,430383.18,4581978.54,2.166249854,41.384474994,2023-05-25 01:00:00
2023S002631    ,-1,Unknown,-1,Unknown,-1,Roger de Flor / Vilanova                          ,,Thursday,2023,5,May,4,14,Afternoon,No és causa del  vianant,Motorcycle,COMBIZ 125,SYM,Unknown,A,13,431652.35,4582825.28,2.181332195,41.392210236,2023-05-04 14:00:00
2023S003916    ,-1,Unknown,-1,Unknown,-1,Estatut de Catalunya                              ,15-21     ,Thursday,2023,6,June,29,8,Morning,No és causa del  vianant,Motorcycle,X'PRO 125,SYM,White,B,3,429411.09,4587178.85,2.154017831,41.43122751,2023-06-29 08:00:00
2023S005719    ,-1,Unknown,-1,Unknown,-1,Litoral (Besòs)                                   ,E14       ,Thursday,2023,9,September,28,14,Afternoon,No és causa del  vianant,Van,TRANSIT CONECT,FORD,White,B,7,429595.67,4578423.7,2.157245077,41.35238905,2023-09-28 14:00:00
2023S005306    ,-1,Unknown,-1,Unknown,-1,Estatut de Catalunya / Jorge Manrique             ,,Thursday,2023,9,September,7,13,Morning,No és causa del  vianant,Moped,JET 14 50,SYM,Unknown,AM,16,429391.4,4587227.22,2.153776539,41.431661427,2023-09-07 13:00:00
2023S006183    ,-1,Unknown,-1,Unknown,-1,Augusta                                           ,394       ,Thursday,2023,10,October,19,18,Afternoon,No és causa del  vianant,All-terrain vehicle,NISSAN X-TRAIL,NISSAN,Gray,B,28,426465.72,4584125.1,2.119140932,41.40345941,2023-10-19 18:00:00
2023S006201    ,-1,Unknown,-1,Unknown,-1,Motors                                            ,120       ,Thursday,2023,10,October,19,21,Afternoon,No és causa del  vianant,Car,MEGANE,RENAULT,White,B,2,428426.48,4578182.19,2.143298272,41.350110732,2023-10-19 21:00:00
2023S006662    ,-1,Unknown,-1,Unknown,-1,Jorge Manrique / Estatut de Catalunya             ,,Thursday,2023,11,November,9,18,Afternoon,No és causa del  vianant,Motorcycle,SH300A,HONDA,Gray,A2,2,429391.4,4587227.22,2.153776539,41.431661427,2023-11-09 18:00:00
2023S007701    ,-1,Unknown,-1,Unknown,-1,Guipúscoa                                         ,185       ,Thursday,2023,12,December,28,18,Afternoon,No és causa del  vianant,Van,TRANSIT CONNECT,FORD,Gray,B,52,433885.22,4586392.96,2.207648269,41.4245302,2023-12-28 18:00:00
2023S000458    ,-1,Unknown,-1,Unknown,-1,Favència                                          ,297-299   ,Monday,2023,1,January,23,12,Morning,No és causa del  vianant,Bus,TOURING/LIO S CHASSIS,NOGE,White,B,22,431894.76,4588886.06,2.183548645,41.446818316,2023-01-23 12:00:00
2023S000462    ,-1,Unknown,-1,Unknown,-1,Ildefons Cerdà                                    ,3         ,Monday,2023,1,January,23,23,Night,No és causa del  vianant,Motorcycle,XCITING 400I,KYMCO,White,A2,7,427786.74,4579747.41,2.135465365,41.364151013,2023-01-23 23:00:00
2023S002183    ,-1,Unknown,-1,Unknown,-1,Numància / Josep Tarradellas                      ,,Monday,2023,4,April,17,9,Morning,No és causa del  vianant,Bicycle,E-BIKE,BROMPTON,Orange,B,13,428395.22,4581569.25,2.142524516,41.380614084,2023-04-17 09:00:00
2023S003031    ,-1,Unknown,-1,Unknown,-1,Lepant                                            ,401-403   ,Monday,2023,5,May,22,18,Afternoon,No és causa del  vianant,Motorcycle,LIBERTY 125,PIAGGIO,Gray,B,10,430513.1,4584954.86,2.167461791,41.411292984,2023-05-22 18:00:00
2023S002739    ,-1,Unknown,-1,Unknown,-1,Motors                                            ,53-59     ,Monday,2023,5,May,8,15,Afternoon,No és causa del  vianant,Bicycle,Unknown,Unknown,Unknown,B,44,427728.32,4577932.12,2.134983286,41.347796057,2023-05-08 15:00:00
2023S004485    ,-1,Unknown,-1,Unknown,-1,Esplugues                                         ,71        ,Monday,2023,7,July,24,15,Afternoon,No és causa del  vianant,Construction and service machinery,TGA 35.430,MAN,White,C,19,425557.5,4582600.33,2.108464159,41.389642883,2023-07-24 15:00:00
2023S005242    ,-1,Unknown,-1,Unknown,-1,Numància                                          ,2         ,Monday,2023,9,September,4,12,Morning,No és causa del  vianant,Motorcycle,WW125A,HONDA,Red,B,20,428310.7,4581655.17,2.141503645,41.381380404,2023-09-04 12:00:00
2023S005806    ,-1,Unknown,-1,Unknown,-1,Ca l'Alegre                                       ,18U-20U   ,Monday,2023,10,October,2,15,Afternoon,No és causa del  vianant,Car,BENZ 112CDI,MERCEDES,Black,B,59,428151.52,4585656.01,2.13912508,41.417400197,2023-10-02 15:00:00
2023S001187    ,-1,Unknown,-1,Unknown,-1,Ildefons Cerdà                                    ,1-2       ,Tuesday,2023,2,February,28,13,Morning,No és causa del  vianant,Motorcycle,SH 125,HONDA,White,B,4,427857.18,4579829.6,2.1362977,41.364897589,2023-02-28 13:00:00
2023S001352    ,-1,Unknown,-1,Unknown,-1,Palomar / Andana de l'Estació                     ,,Tuesday,2023,3,March,7,21,Afternoon,No és causa del  vianant,Motorcycle,GPD125-A,YAMAHA,Blue,B,3,432755.06,4588382.55,2.193902886,41.442355942,2023-03-07 21:00:00
2023S002027    ,-1,Unknown,-1,Unknown,-1,Dalt / Escorial                                   ,,Tuesday,2023,4,April,11,8,Morning,No és causa del  vianant,Motorcycle,NHX110WH,HONDA,Gray,B,40,429688.64,4584955.16,2.157598074,41.411223945,2023-04-11 08:00:00
2023S002047    ,-1,Unknown,-1,Unknown,-1,Rovira (descendent)                               ,0         ,Tuesday,2023,4,April,11,15,Afternoon,No és causa del  vianant,Motorcycle,YZF-R125,YAMAHA,Black,A1,2,430428.31,4585222.71,2.166416561,41.413698077,2023-04-11 15:00:00
2023S001940    ,-1,Unknown,-1,Unknown,-1,Arístides Maillol / Gállego                       ,,Tuesday,2023,4,April,4,22,Night,No és causa del  vianant,Motorcycle,SPEEDFIGHT,PEUGEOT,White,B,2,426553.57,4581377.45,2.120525176,41.378720526,2023-04-04 22:00:00
2023S003869    ,-1,Unknown,-1,Unknown,-1,Llull                                             ,386       ,Tuesday,2023,6,June,27,18,Afternoon,No és causa del  vianant,Bus,LION S CITY HIBRIDO,MAN,Unknown,D,21,434579.48,4584910.18,2.216116529,41.411232037,2023-06-27 18:00:00
2023S003871    ,-1,Unknown,-1,Unknown,-1,Colom / Portal de la Pau                          ,,Tuesday,2023,6,June,27,19,Afternoon,No és causa del  vianant,Motorcycle,YP125R,YAMAHA,Black,B,20,,,2.178020316,41.376109822,2023-06-27 19:00:00
2023S004509    ,-1,Unknown,-1,Unknown,-1,Dolors Monserdà / Carrasco i Formiguera           ,,Tuesday,2023,7,July,25,20,Afternoon,No és causa del  vianant,Motorcycle,VIESTE 300,KEEWAY,Blue,A,35,426738.14,4583956.28,2.122420131,41.401963806,2023-07-25 20:00:00
2023S005019    ,-1,Unknown,-1,Unknown,-1,A Zona Franca                                     ,119       ,Tuesday,2023,8,August,22,22,Night,No és causa del  vianant,Motorcycle,UH 125,SUZUKI,Black,B,14,428687.54,4577782.0,2.146465648,41.346529507,2023-08-22 22:00:00
2023S005522    ,-1,Unknown,-1,Unknown,-1,Gran Capità / Sor Eulàlia d'Anzizu                ,,Tuesday,2023,9,September,19,9,Morning,No és causa del  vianant,Moped,NOVA 3000,EMCO,Red,B,2,425646.25,4582408.4,2.109549151,41.387922468,2023-09-19 09:00:00
2023S005524    ,-1,Unknown,-1,Unknown,-1,Vall d'Hebron                                     ,233       ,Tuesday,2023,9,September,19,11,Morning,No és causa del  vianant,Van,CRAFTER,VOLKSWAGEN,White,B,19,429578.16,4588089.71,2.155911034,41.439445928,2023-09-19 11:00:00
2023S005670    ,-1,Unknown,-1,Unknown,-1,Número 6 Zona Franca / A Zona Franca              ,,Tuesday,2023,9,September,26,15,Afternoon,No és causa del  vianant,Motorcycle,PES125,HONDA,White,B,8,427519.99,4575229.36,2.132816004,41.323434399,2023-09-26 15:00:00
2023S007539    ,-1,Unknown,-1,Unknown,-1,Arístides Maillol / Cardenal Reig                 ,,Tuesday,2023,12,December,19,14,Afternoon,No és causa del  vianant,Motorcycle,LIBERTY 125 3V,PIAGGIO,White,B,9,426465.56,4581445.06,2.11946457,41.379321419,2023-12-19 14:00:00
2023S000336    ,-1,Unknown,-1,Unknown,-1,Número 6 Zona Franca / K Zona Franca              ,,Wednesday,2023,1,January,18,8,Morning,No és causa del  vianant,Motorcycle,MILER 125,KYMCO,White,B,9,425845.4,4575752.83,2.112744772,41.327996746,2023-01-18 08:00:00
2023S000474    ,-1,Unknown,-1,Unknown,-1,Número 6 Zona Franca / A Zona Franca              ,,Wednesday,2023,1,January,25,5,Night,No és causa del  vianant,Motorcycle,GS 500,SUZUKI,Black,A,30,427519.99,4575229.36,2.132816004,41.323434399,2023-01-25 05:00:00
2023S001077    ,-1,Unknown,-1,Unknown,-1,Carrasco i Formiguera / Dolors Monserdà           ,,Wednesday,2023,2,February,22,21,Afternoon,No és causa del  vianant,Moped,LIBERTY S 50 2T,PIAGGIO,Black,B,2,426738.14,4583956.28,2.122420131,41.401963806,2023-02-22 21:00:00
2023S002065    ,-1,Unknown,-1,Unknown,-1,Treball / Cristóbal de Moura                      ,,Wednesday,2023,4,April,12,11,Morning,No és causa del  vianant,Bus,CITELIS 12GNC,IRISBUS,Red,D1,16,433851.01,4584977.92,2.207393744,41.411782494,2023-04-12 11:00:00
