Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Date,Day_Type_Description,Year,Month_of_Year,Month_Name,Day_of_Month,Shift_Description,Hour_of_Day,Pedestrian_Cause_Description,Involved_Vehicle_Type_Description,Gender_Description,Age,Person_Type_Description,Pedestrian_Accident_Location_Description,Pedestrian_Movement_Reason_Description,Driver_Movement_Reason_Description,Victimization_Description,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2020S000001    ,Horta-Guinardó,la Font d'en Fargues,Maragall,Wednesday,2020-01-01,Laboral,2020,1,January,1,Night,00:00:00,Unknown,Car,Female,29,Driver,Unknown,Unknown,Unknown,Uninjured,430501.45,4586751.53,2.16711584,41.42747394
2020S000002    ,Sants-Montjuďc,la Bordeta,Corts Catalanes,Wednesday,2020-01-01,Laboral,2020,1,January,1,Night,02:00:00,Desobeir el senyal del semŕfor,Taxi,Female,26,Pedestrian,In crossing regulated by traffic lights,Leisure and entertainment,Unknown,Minor injury: Hospitalization up to 24 hours,428225.71,4580279.72,2.14065026,41.368984627
2020S000002    ,Sants-Montjuďc,la Bordeta,Corts Catalanes,Wednesday,2020-01-01,Laboral,2020,1,January,1,Night,02:00:00,Desobeir el senyal del semŕfor,Taxi,Male,31,Driver,In crossing regulated by traffic lights,Unknown,Taxi,Uninjured,428225.71,4580279.72,2.14065026,41.368984627
2020S000003    ,Eixample,l'Antiga Esquerra de l'Eixample,Sarriŕ,Wednesday,2020-01-01,Laboral,2020,1,January,1,Night,02:00:00,Unknown,Motorcycle,Male,42,Driver,Unknown,Unknown,Leisure and entertainment,Minor injury: Hospitalization up to 24 hours,428532.59,4582672.59,2.14403698,41.390563692
2020S000003    ,Eixample,l'Antiga Esquerra de l'Eixample,Sarriŕ,Wednesday,2020-01-01,Laboral,2020,1,January,1,Night,02:00:00,Unknown,Car,Male,36,Driver,Unknown,Unknown,Taxi,Uninjured,428532.59,4582672.59,2.14403698,41.390563692
2020S000003    ,Eixample,l'Antiga Esquerra de l'Eixample,Sarriŕ,Wednesday,2020-01-01,Laboral,2020,1,January,1,Night,02:00:00,Unknown,Motorcycle,Female,41,Passenger,Unknown,Unknown,Unknown,Minor injury: Hospitalization up to 24 hours,428532.59,4582672.59,2.14403698,41.390563692
2020S000004    ,Les Corts,les Corts,Doctor Fleming,Wednesday,2020-01-01,Laboral,2020,1,January,1,Morning,06:00:00,Unknown,Car,Female,20,Passenger,Unknown,Unknown,Unknown,Minor injury: Refused medical assistance,427929.13,4582767.09,2.13680838,41.391360941
2020S000004    ,Les Corts,les Corts,Doctor Fleming,Wednesday,2020-01-01,Laboral,2020,1,January,1,Morning,06:00:00,Unknown,Taxi,Male,48,Driver,Unknown,Unknown,Taxi,Uninjured,427929.13,4582767.09,2.13680838,41.391360941
2020S000004    ,Les Corts,les Corts,Doctor Fleming,Wednesday,2020-01-01,Laboral,2020,1,January,1,Morning,06:00:00,Unknown,Car,Male,23,Driver,Unknown,Unknown,Unknown,Minor injury: Refused medical assistance,427929.13,4582767.09,2.13680838,41.391360941
2020S000005    ,Eixample,la Dreta de l'Eixample,Sant Pere,Wednesday,2020-01-01,Laboral,2020,1,January,1,Night,04:00:00,Others,Ciclomotor,Female,39,Pedestrian,In crossing regulated by traffic lights,Unknown,Unknown,Minor injury: Medical assistance at accident site,431157.87,4582598.57,2.17544381,41.390126129
