Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Day_Type,Year,Month_Number,Month_Name,Day_of_Month,Hour_of_Day,Shift_Description,Pedestrian_Cause_Description,Vehicle_Type_Description,Vehicle_Model,Vehicle_Brand,Vehicle_Color,License_Description,License_Age,Coordenada_UTM_X,Coordenada_UTM_Y,Latitud,Longitud
2020S000001    ,Horta-Guinardó,la Font d'en Fargues,Maragall,Wednesday,Working Day,2020,1,January,1,0,Night,Not the pedestrian’s fault,Car,C4 CACTUS BLUEHDI 100,CITROEN,Unknown,B,4,430501.45,4586751.53,41.42747394,2.16711584
2020S000002    ,Sants-Montjuïc,la Bordeta,Corts Catalanes,Wednesday,Working Day,2020,1,January,1,2,Night,Disobey traffic light signal,Taxi,V 220 D,MERCEDES-BENZ,Black/Yellow,B,11,428225.71,4580279.72,41.368984627,2.14065026
2020S000003    ,Eixample,l'Antiga Esquerra de l'Eixample,Sarrià,Wednesday,Working Day,2020,1,January,1,2,Night,Not the pedestrian’s fault,Motorcycle,YP250R,YAMAHA,Black,A,24,428532.59,4582672.59,41.390563692,2.14403698
2020S000003    ,Eixample,l'Antiga Esquerra de l'Eixample,Sarrià,Wednesday,Working Day,2020,1,January,1,2,Night,Not the pedestrian’s fault,Car,LODGY,DACIA,Black/Yellow,B,9,428532.59,4582672.59,41.390563692,2.14403698
2020S000004    ,Les Corts,les Corts,Doctor Fleming,Wednesday,Working Day,2020,1,January,1,6,Morning,Not the pedestrian’s fault,Car,LEON,SEAT,Gray,B,4,427929.13,4582767.09,41.391360941,2.13680838
2020S000004    ,Les Corts,les Corts,Doctor Fleming,Wednesday,Working Day,2020,1,January,1,6,Morning,Not the pedestrian’s fault,Taxi,TOLEDO ECOMOTIVE,SEAT,Black/Yellow,B,19,427929.13,4582767.09,41.391360941,2.13680838
2020S000005    ,Eixample,la Dreta de l'Eixample,Sant Pere,Wednesday,Working Day,2020,1,January,1,4,Night,Others,Moped,Unknown,Unknown,Unknown,Unknown,Unknown,431157.87,4582598.57,41.390126129,2.17544381
2020S000006    ,Sants-Montjuïc,Sants - Badal,Sants,Wednesday,Working Day,2020,1,January,1,10,Morning,Not the pedestrian’s fault,Car,XSARA 16I EXCL 5P,CITROEN,Gray,Unknown,Unknown,427018.47,4581015.94,41.375506869,2.12612787
2020S000007    ,Sant Andreu,Sant Andreu,Meridiana,Wednesday,Working Day,2020,1,January,1,13,Morning,Not the pedestrian’s fault,Motorcycle,TWEET 125,PEUGEOT,Unknown,B,Unknown,431931.99,4587522.49,41.434540282,2.18414801
2020S000007    ,Sant Andreu,Sant Andreu,Meridiana,Wednesday,Working Day,2020,1,January,1,13,Morning,Not the pedestrian’s fault,Car,XSARA 19TD IMAGE,CITROEN,Green,B,50,431931.99,4587522.49,41.434540282,2.18414801
2020S000008    ,Sarrià-Sant Gervasi,Sarrià,Santa Eulàlia,Wednesday,Working Day,2020,1,January,1,14,Afternoon,Not the pedestrian’s fault,Bus,O 530,MERCEDES-BENZ,Red,D,10,426049.39,4584165.47,41.403784796,2.11415576
2020S000009    ,Eixample,la Dreta de l'Eixample,Aragó,Wednesday,Working Day,2020,1,January,1,14,Afternoon,Not the pedestrian’s fault,Motorcycle,SH 125,HONDA,White,B,7,430435.12,4582966.26,41.393375576,2.1667575
2020S000009    ,Eixample,la Dreta de l'Eixample,Aragó,Wednesday,Working Day,2020,1,January,1,14,Afternoon,Not the pedestrian’s fault,Car,LEON 1.6 5V,SEAT,Gray,B,3,430435.12,4582966.26,41.393375576,2.1667575
2020S000010    ,Sant Martí,la Verneda i la Pau,Cantàbria,Wednesday,Working Day,2020,1,January,1,18,Afternoon,Not the pedestrian’s fault,Motorcycle,MTN850-A (MT-09 ABS),YAMAHA,Gray,A,4,433207.58,4586347.25,41.424062416,2.19954443
2020S000010    ,Sant Martí,la Verneda i la Pau,Cantàbria,Wednesday,Working Day,2020,1,January,1,18,Afternoon,Not the pedestrian’s fault,Car,ONE,MINI,Red,B,3,433207.58,4586347.25,41.424062416,2.19954443
2020S000011    ,Sant Andreu,Sant Andreu,Meridiana,Wednesday,Working Day,2020,1,January,1,17,Afternoon,Not the pedestrian’s fault,Car,ASTRA,OPEL,Unknown,B,27,431930.41,4587485.64,41.434208253,2.18413325
2020S000012    ,Sants-Montjuïc,la Marina de Port,Corts Catalanes,Wednesday,Working Day,2020,1,January,1,21,Afternoon,Not the pedestrian’s fault,Motorcycle,CBR125R,HONDA,Others,A,20,428132.8,4580116.76,41.367508608,2.13955875
2020S000012    ,Sants-Montjuïc,la Marina de Port,Corts Catalanes,Wednesday,Working Day,2020,1,January,1,21,Afternoon,Not the pedestrian’s fault,Car,C 220 D,MERCEDES-BENZ,White,B,Unknown,428132.8,4580116.76,41.367508608,2.13955875
2020S000013    ,Horta-Guinardó,Horta,Cartellà,Wednesday,Working Day,2020,1,January,1,22,Night,Not the pedestrian’s fault,Moped,JET SPORT 50,S.Y.M,Blue,B,6,430312.14,4587069.31,41.430319654,2.16481375
2020S000014    ,Sant Andreu,la Sagrera,Gran de la Sagrera,Thursday,Working Day,2020,1,January,2,0,Night,Not the pedestrian’s fault,Motorcycle,CITYCOM 300,S.Y.M,White,A2,1,432495.23,4586217.01,41.422829809,2.19103482
2020S000014    ,Sant Andreu,la Sagrera,Gran de la Sagrera,Thursday,Working Day,2020,1,January,2,0,Night,Not the pedestrian’s fault,Car,X1 SDRIVE18D,BMW,Gray,B,18,432495.23,4586217.01,41.422829809,2.19103482
2020S000015    ,Sant Andreu,Baró de Viver,B-10 (Llobregat),Thursday,Working Day,2020,1,January,2,8,Morning,Not the pedestrian’s fault,Motorcycle,ST 1300,HONDA,White,A,23,433346.77,4589084.0,41.448723046,2.20090798
2020S000015    ,Sant Andreu,Baró de Viver,B-10 (Llobregat),Thursday,Working Day,2020,1,January,2,8,Morning,Not the pedestrian’s fault,Car,CORSA-E,OPEL,White,B,30,433346.77,4589084.0,41.448723046,2.20090798
2020S000016    ,Horta-Guinardó,el Carmel,Sigüenza,Wednesday,Working Day,2020,1,January,1,21,Afternoon,Not the pedestrian’s fault,Motorcycle,SYMPHONY 125 SR,S.Y.M,Blue,A,15,429316.61,4586333.62,41.42360655,2.15298602
2020S000016    ,Horta-Guinardó,el Carmel,Sigüenza,Wednesday,Working Day,2020,1,January,1,21,Afternoon,Not the pedestrian’s fault,Motorcycle,NSC110MPD,HONDA,Unknown,B,5,429316.61,4586333.62,41.42360655,2.15298602
2020S000017    ,Sants-Montjuïc,la Marina de Port,Corts Catalanes,Thursday,Working Day,2020,1,January,2,12,Morning,Not the pedestrian’s fault,Car,GLA 200,MERCEDES,Gray,B,10,427981.21,4579963.82,41.366117574,2.13776456
2020S000017    ,Sants-Montjuïc,la Marina de Port,Corts Catalanes,Thursday,Working Day,2020,1,January,2,12,Morning,Not the pedestrian’s fault,Motorcycle,SH 150,HONDA,Green,A2,35,427981.21,4579963.82,41.366117574,2.13776456
2020S000018    ,Sarrià-Sant Gervasi,Sarrià,Bonanova,Thursday,Working Day,2020,1,January,2,14,Afternoon,Not the pedestrian’s fault,Car,A3 SPORTBACK,AUDI,White,B,2,426893.17,4583918.34,41.401636216,2.12427918
2020S000018    ,Sarrià-Sant Gervasi,Sarrià,Bonanova,Thursday,Working Day,2020,1,January,2,14,Afternoon,Not the pedestrian’s fault,Motorcycle,FES 125,HONDA,Black,B,31,426893.17,4583918.34,41.401636216,2.12427918
2020S000019    ,Sants-Montjuïc,la Marina de Port,Foc,Thursday,Working Day,2020,1,January,2,16,Afternoon,Not the pedestrian’s fault,Motorcycle,SH125AD,HONDA,White,B,6,428358.19,4578917.18,41.356724483,2.14239521
2020S000019    ,Sants-Montjuïc,la Marina de Port,Foc,Thursday,Working Day,2020,1,January,2,16,Afternoon,Not the pedestrian’s fault,Car,406 4P SVDT 2.0,PEUGEOT,Unknown,B,11,428358.19,4578917.18,41.356724483,2.14239521
