Case_Number,District_Name,Neighborhood_Name,Street_Name,Day_of_Week,Year,Month_Number,Month_Name,Day_of_Month,Hour_of_Day,Driver_Cause_Description,Shift_Description,Coordenada_UTM_X_ED50,Coordenada_UTM_Y_ED50,Longitud,Latitud,datetime
2020S001281    ,Unknown,Unknown,Corts Catalanes                                   ,Wednesday,2020,2,February,19,22,Disobeying traffic lights,Night,432561.42,4584522.58,2.19311873803974,41.4094226443517,2020-02-19 22:00:00
2020S002367    ,Unknown,Unknown,Molins de Rei                                     ,Saturday,2020,5,May,30,12,Others,Morning,422891.03,4584730.23,2.07740261582518,41.4104233155153,2020-05-30 12:00:00
2020S005723    ,Sant Martí,el Camp de l'Arpa del Clot,Independència,Wednesday,2020,12,December,2,13,Others,Morning,431461.53,4584551.41,2.17995692020787,41.4095892721141,2020-12-02 13:00:00
2020S000847    ,Sant Martí,el Camp de l'Arpa del Clot,Còrsega,Tuesday,2020,2,February,4,6,Lack of attention while driving,Morning,431597.1,4585085.49,2.18151843749033,41.4144111039125,2020-02-04 06:00:00
2020S003120    ,Sant Martí,el Camp de l'Arpa del Clot,Independència,Monday,2020,7,July,13,14,Disobeying traffic lights,Afternoon,431372.38,4585035.95,2.17883541277121,41.4139457552358,2020-07-13 14:00:00
2020S001193    ,Sant Martí,el Camp de l'Arpa del Clot,Rosselló,Monday,2020,2,February,17,7,Disobeying other signals,Morning,431636.55,4584898.98,2.18201150930014,41.4127346267177,2020-02-17 07:00:00
2020S000174    ,Sant Martí,el Camp de l'Arpa del Clot,Freser,Thursday,2020,1,January,9,20,Disobeying traffic lights,Afternoon,431534.52,4584869.33,2.18079416567312,41.4124588936576,2020-01-09 20:00:00
2020S006192    ,Sant Martí,el Camp de l'Arpa del Clot,Independència,Thursday,2020,12,December,24,16,Others,Afternoon,431466.56,4584937.05,2.17997341701321,41.4130630328963,2020-12-24 16:00:00
2020S002380    ,Sant Martí,el Camp de l'Arpa del Clot,Independència,Monday,2020,6,June,1,16,Others,Afternoon,431748.64,4584647.26,2.18338096207684,41.4104769929213,2020-06-01 16:00:00
2020S002380    ,Sant Martí,el Camp de l'Arpa del Clot,Independència,Monday,2020,6,June,1,16,Lack of attention while driving,Afternoon,431748.64,4584647.26,2.18338096207684,41.4104769929213,2020-06-01 16:00:00
2020S004818    ,Sant Martí,el Camp de l'Arpa del Clot,Mallorca,Wednesday,2020,10,October,14,17,Lack of attention while driving,Afternoon,431675.48,4584557.86,2.18251579168637,41.4096655802629,2020-10-14 17:00:00
2020S000359    ,Sant Martí,el Camp de l'Arpa del Clot,Meridiana,Thursday,2020,1,January,16,17,Others,Afternoon,432131.07,4584631.66,2.18795799690927,41.4103688718988,2020-01-16 17:00:00
2020S003962    ,Sant Martí,el Camp de l'Arpa del Clot,Rogent,Wednesday,2020,9,September,2,19,Lack of attention while driving,Afternoon,431901.26,4584766.26,2.1851934710623,41.4115617333304,2020-09-02 19:00:00
2020S003342    ,Sant Martí,el Camp de l'Arpa del Clot,Mallorca,Thursday,2020,7,July,23,10,Not determined,Morning,431930.85,4584810.79,2.1855424736267,41.4119653074169,2020-07-23 10:00:00
2020S005887    ,Sant Martí,el Clot,Glòries Catalanes,Thursday,2020,12,December,10,10,Disobeying traffic lights,Morning,432171.52,4584181.6,2.18849237319005,41.4063187342844,2020-12-10 10:00:00
2020S001821    ,Sant Martí,Sant Martí de Provençals,Guipúscoa,Tuesday,2020,3,March,10,16,Lack of precaution when reversing,Afternoon,432877.17,4585348.9,2.19680455385906,41.4168914937382,2020-03-10 16:00:00
2020S004624    ,Sant Martí,Sant Martí de Provençals,Provençals,Monday,2020,10,October,5,10,Not determined,Morning,432983.93,4585480.27,2.19806737482824,41.4180836144983,2020-10-05 10:00:00
2020S000648    ,Sant Martí,el Clot,Corts Catalanes,Tuesday,2020,1,January,28,11,Disobeying other signals,Morning,432353.63,4584318.24,2.1906556760507,41.4075647550789,2020-01-28 11:00:00
2020S001773    ,Sant Martí,Sant Martí de Provençals,Provençals,Monday,2020,3,March,9,10,Lack of precaution when reversing,Morning,432932.87,4585551.24,2.19744856511103,41.4187185597069,2020-03-09 10:00:00
2020S004994    ,Sant Martí,el Clot,Sèquia Comtal,Friday,2020,10,October,23,16,Unknown,Afternoon,432131.07,4584631.66,2.18795799690927,41.4103688718988,2020-10-23 16:00:00
2020S004897    ,Sant Martí,el Clot,Meridiana,Saturday,2020,10,October,17,22,Disobeying other signals,Night,432129.98,4584483.85,2.18796153486491,41.4090375010765,2020-10-17 22:00:00
2020S000168    ,Sant Martí,el Clot,Meridiana,Thursday,2020,1,January,9,17,Disobeying other signals,Afternoon,432127.7,4584285.31,2.18795652545057,41.4072491199307,2020-01-09 17:00:00
2020S004847    ,Sant Martí,Sant Martí de Provençals,Andrade,Thursday,2020,10,October,15,16,Lack of precaution entering traffic,Afternoon,433075.96,4585196.41,2.19919993297885,41.415534641827,2020-10-15 16:00:00
2020S000611    ,Sant Martí,Sant Martí de Provençals,Fluvià,Monday,2020,1,January,27,8,Improper/defective overtaking,Morning,432794.66,4585484.97,2.19580220986028,41.4181101383705,2020-01-27 08:00:00
